Address,Allocation%,Points
0xC948f617D092E04279d08afECAA598A8e0eD45E0,0.17%,10
0xcA3F95ae40Abd59326618c76004DCCd75E5eDF7E,0.17%,10
0xCa91dE91b616F99358505D8b32e7fb3f98eFF533,0.17%,10
0xcab1ee41b663b712fd58fbaae2a1f04591107faa,0.17%,10
0xcb22a9F3acAde585082F84aDa2Df417D110588F9,0.17%,10
0xcb895dfa8808d0c5a900ced39da485ddc0bf31e9,0.17%,10
0xcb8f3C5D71f89d801163e37E8c71B3f4c85db9a8,0.17%,10
0xd0bB078f8a36f916c755e393561d299037b4327f,0.17%,10
0xd0c5c2426d07203644946458ec5e0733ee5b1a4d,0.17%,10
0xD148311FC082224e19F96D27EF0dd53dac2dCcEE,0.17%,10
0xd1Bac4ce73E37Dbe75f7F2c5EF966795172590cA,0.17%,10
0xd2a61844D1c5da77EA798868501E7B362b849a79,0.17%,10
0xd598e0Ccbbc94714422d544f1Caf162234C296bA,0.17%,10
0xd5E30668e3ABc8cA5F677D7A25AA6D448f7eA9e0,0.17%,10
0xD6aDB0143b70Ce6479748C112b86E0D465dd48b5,0.17%,10
0xd8500631e7abca83716725aa57027902a4394ef7,0.17%,10
0xd9aB5cF637E2eC9a73A858Cbd591Cb36933725E7,0.17%,10
0xda21bCAbF7b21A1743A63E3504FdbFf205502F36,0.17%,10
0xdb656933BA52Ed16154aB9c2e04fad020411f005,0.17%,10
0xDD080cC45e0C5e594D8ae08d0772E6A04fcB0773,0.17%,10
0xdf290F43492D2e4834B885cF11FE4aA5ff3C3305,0.17%,10
0xe2D64dF8cFf06F20E66d685D814Cd85414F32e73,0.17%,10
0xE3789D8044f9cCAd7b70f9470d0D8116b9b39FBA,0.17%,10
0xe3D21B1C63EDC070EA93FB8B29cc05f10A2AA9e6,0.17%,10
0xe4D6Ec077F58e97083B09e543DABbe5A6218cA33,0.17%,10
0xe5B6bd3931273F9188d25f4559DE17FceC206510,0.17%,10
0xe6bC95f98e954bD84Ae3AF14cA1a8f4509e4a764,0.17%,10
0xE7294495206c1F5223D7F0C59B004Ce971760541,0.17%,10
0xE778d9edFe8c21D0D5750DC2a73C4cDEdDEA0044,0.17%,10
0xe85d4244E5eC1790c36D8968E5c1B4ee2a557243,0.17%,10
0xe8e83ddfc373bbbd22edf5a80a30ec7ded8f2b47,0.17%,10
0xe9A5AD06daCa1bf8d48C9Fd98dDfbd34E8Cf0776,0.17%,10
0xedd914BD0208d521c85CE603e4d401Bf4e888785,0.17%,10
0xeeF9F12cDFe9E79709dbf6879D0C12C0b367013B,0.17%,10
0xf0550405d0D7FCab84A87922F51107186ae6013f,0.17%,10
0xF2Ef8Aa28EA7E38043D71D6e1aa011030bc31c5c,0.17%,10
0xf3384c1960871b7451CcF59B5FA654A137a79E34,0.17%,10
0xF3c3F9f60BD25144738bE81Da0d8EC709d6c997c,0.17%,10
0xf417e3ca84e5edfBB711d4a2F2107999359ffAEb,0.17%,10
0xf47cD6aF843fD5aC0B342Fc296C26a00Dc173470,0.17%,10
0xF4ba18355201699c6135B82AfFEd3805e610C670,0.17%,10
0xF4F952f68E8791E04F3824f13c90faddF7db538a,0.17%,10
0xf5dd3E16958bF7d0a1784Bb2C5c0BB2bf36f335f,0.17%,10
0xF81a48410c448B1D587Be9BBB3b23938e9F4BFd4,0.17%,10
0xfac9869ba1823d262c31a54a5b57ba42f7585067,0.17%,10
0xfaD3633454841BA4277b59492e2e18f69CE9dF5E,0.17%,10
0xFB9b3F93973DA37723B623B6ebD72dc1c7C8897E,0.17%,10
0xFB9fB553aCAEc0D991ACdbbCc3Fd837b3F464270,0.17%,10
0xFBcc618980f92e8a42BB36319343E96112836835,0.17%,10
0xfDfC50E371ecFEB94d5eCcf618357F4c447A99F0,0.17%,10
0xfeb06b8A7F833ac00DC93b783680bE3aa6324787,0.17%,10
0x1EB29070ACAd13891F2Ed7ACef5b30463EDaD03b,0.17%,10
0x01c3f2320786c7e68094039088ebaaaf38d78e3b,0.03%,2
0x01d51c530a0ccfb4978a8cdb394903d2451a4cd0,0.03%,2
0x01d9799410061ccc2dab6b1ed11700c23ee17b3b,0.03%,2
0x01ddce6623dae025ed36ae22e12d5b989bcc04cd,0.03%,2
0x01fd05a5f3ece864be387456991805f6e1955937,0.03%,2
0x0219facc297d9602bf8fad06e43e41f80d3042f7,0.03%,2
